"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","296.45","296.45","286.50","287.95","292.75","293.20","292.30","687.00","234.01","1,49,55,235","4,37,14,55,315.20","74,578"
"09-Apr-2025","EQ","288.70","290.65","279.60","285.90","287.95","287.95","286.72","687.00","234.01","1,45,19,066","4,16,28,85,821.80","87,996"
"08-Apr-2025","EQ","279.50","287.50","275.10","273.70","285.15","285.90","283.18","687.00","234.01","1,89,94,276","5,37,87,99,889.75","1,27,287"
"07-Apr-2025","EQ","262.00","279.10","262.00","279.45","275.50","273.70","273.51","687.00","234.01","1,50,10,047","4,10,54,26,960.20","1,27,768"
"04-Apr-2025","EQ","292.15","295.70","277.05","286.80","279.00","279.45","284.94","687.00","234.01","1,88,52,567","5,37,19,25,884.90","1,39,313"
"03-Apr-2025","EQ","283.00","291.40","283.00","286.80","286.00","286.80","286.98","687.00","234.01","66,63,148","1,91,22,20,575.60","51,867"
"02-Apr-2025","EQ","283.05","288.05","277.70","284.60","286.60","286.80","283.72","687.00","234.01","1,20,58,406","3,42,12,34,739.80","78,397"
"01-Apr-2025","EQ","275.00","287.00","275.00","278.47","285.70","284.60","282.87","687.00","234.01","2,07,80,255","5,87,80,97,764.25","1,25,934"
"28-Mar-2025","EQ","276.99","284.33","276.30","276.06","278.35","278.47","280.73","687.00","234.01","1,26,87,883","3,56,18,76,794.83","90,537"
"27-Mar-2025","EQ","273.39","279.85","272.18","273.01","279.00","276.06","276.01","687.00","234.01","10,75,24,873","29,67,78,92,706.66","1,87,408"
"26-Mar-2025","EQ","278.00","283.33","272.13","279.11","273.50","273.01","278.25","687.00","234.01","94,75,308","2,63,64,89,344.95","92,614"
"25-Mar-2025","EQ","280.57","283.96","277.18","280.44","278.60","279.11","280.12","687.00","234.01","1,21,43,699","3,40,16,78,639.71","1,15,276"
"24-Mar-2025","EQ","282.00","285.30","280.00","279.66","280.69","280.44","282.02","687.00","234.01","1,13,76,607","3,20,84,15,757.58","96,555"
"21-Mar-2025","EQ","272.20","285.85","271.06","272.13","279.11","279.66","279.09","687.00","234.01","2,61,73,451","7,30,46,27,173.01","1,85,524"
"20-Mar-2025","EQ","266.60","272.93","264.75","265.26","271.80","272.13","270.05","687.00","234.01","1,07,89,615","2,91,36,90,599.83","1,17,562"
"19-Mar-2025","EQ","263.51","266.49","263.01","262.18","265.60","265.26","265.35","687.00","234.01","49,55,027","1,31,47,95,841.55","62,849"
"18-Mar-2025","EQ","262.15","263.30","259.51","261.42","262.20","262.18","261.33","687.00","234.01","55,48,862","1,45,00,84,692.79","56,335"
"17-Mar-2025","EQ","261.11","263.69","258.31","264.41","261.41","261.42","260.77","687.00","234.01","64,82,585","1,69,04,94,521.45","83,243"
"13-Mar-2025","EQ","266.32","266.67","262.01","266.32","263.80","264.41","264.34","687.00","234.01","45,45,159","1,20,14,86,152.06","59,062"
"12-Mar-2025","EQ","266.50","272.00","263.40","264.58","265.93","266.32","266.76","687.00","234.01","1,06,48,004","2,84,04,28,970.09","1,06,619"